         63773119 function calls (62897781 primitive calls) in 80.512 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    0.003    0.003 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\io\parsers\c_parser_wrapper.py:60(__init__)
     2727    0.002    0.000    0.002    0.000 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\language.py:80(__init__)
        1    0.002    0.002    0.002    0.002 {built-in method _imp.create_dynamic}
       10    0.002    0.000    0.045    0.005 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\main.py:115(gen_inventory)
       74    0.002    0.000    0.003    0.000 {built-in method builtins.sorted}
       84    0.002    0.000    0.005    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\autograd\profiler.py:495(__exit__)
     1008    0.002    0.000    0.002    0.000 {built-in method torch.is_complex}
       42    0.002    0.000    0.002    0.000 {method 'reshape' of 'torch._C._TensorBase' objects}
     2812    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
     1008    0.001    0.000    0.001    0.000 {method 'conj' of 'torch._C._TensorBase' objects}
       42    0.001    0.000    0.708    0.017 C:\Users\abhil\anaconda3\Lib\site-packages\torch\optim\optimizer.py:29(_use_grad)
     3029    0.001    0.000    0.001    0.000 {method 'values' of 'collections.OrderedDict' objects}
       84    0.001    0.000    0.002    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\autograd\profiler.py:482(__init__)
       42    0.001    0.000    0.706    0.017 C:\Users\abhil\anaconda3\Lib\site-packages\torch\optim\adam.py:108(step)
        1    0.001    0.001    0.001    0.001 {method 'close' of 'pandas._libs.parsers.TextReader' objects}
       42    0.001    0.000    0.001    0.000 {built-in method torch.ones_like}
       42    0.001    0.000    2.939    0.070 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\autoencoder.py:39(forward)
       84    0.001    0.000    0.007    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\autograd\profiler.py:491(__enter__)
       42    0.001    0.000    0.068    0.002 C:\Users\abhil\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:618(forward)
       11    0.001    0.000    0.002    0.000 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\language.py:113(__str__)
     1050    0.001    0.000    0.001    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\optim\adam.py:268(<genexpr>)
       42    0.001    0.000    0.687    0.016 C:\Users\abhil\anaconda3\Lib\site-packages\torch\optim\adam.py:231(adam)
     1176    0.001    0.000    0.001    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\_tensor.py:942(__hash__)
       13    0.001    0.000    0.001    0.000 {built-in method nt.stat}
       42    0.001    0.000    5.677    0.135 C:\Users\abhil\anaconda3\Lib\site-packages\torch\autograd\__init__.py:106(backward)
     1068    0.001    0.000    0.001    0.000 {built-in method math.sqrt}
    85/84    0.001    0.000    0.001    0.000 C:\Users\abhil\anaconda3\Lib\typing.py:352(inner)
      156    0.001    0.000    0.001    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\autograd\grad_mode.py:149(__init__)
       42    0.001    0.000    5.678    0.135 C:\Users\abhil\anaconda3\Lib\site-packages\torch\_tensor.py:428(backward)
       24    0.001    0.000    0.001    0.000 {built-in method torch.empty}
       24    0.001    0.000    0.001    0.000 {built-in method torch.tensor}
     3142    0.001    0.000    0.001    0.000 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\main.py:38(<lambda>)
       42    0.001    0.000    0.066    0.002 C:\Users\abhil\anaconda3\Lib\site-packages\torch\nn\functional.py:3032(binary_cross_entropy)
     2178    0.001    0.000    0.001    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\_jit_internal.py:1102(is_scripting)
        1    0.001    0.001    0.001    0.001 {built-in method io.open_code}
       42    0.001    0.000    0.002    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\autograd\__init__.py:50(_make_grads)
        1    0.001    0.001    0.001    0.001 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\main.py:41(<listcomp>)
       11    0.001    0.000    0.001    0.000 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\language.py:95(get_inventory)
       42    0.001    0.000    0.001    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\optim\optimizer.py:64(_default_to_fused_or_foreach)
       27    0.001    0.000    0.001    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\nn\modules\module.py:437(__init__)
        1    0.001    0.001    0.001    0.001 {pandas._libs.algos.take_2d_axis1_int64_int64}
      205    0.001    0.000    0.001    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\dtypes\common.py:1335(is_extension_array_dtype)
       42    0.000    0.000    0.005    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:2188(sum)
       42    0.000    0.000    0.005    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
        1    0.000    0.000    0.000    0.000 c:\Users\abhil\Documents\Programming\Machine Learning\Phonology Generator\main.py:165(<dictcomp>)
       84    0.000    0.000    0.006    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\_ops.py:497(__call__)
      103    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
     1176    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      195    0.000    0.000    0.001    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\dtypes\common.py:653(is_integer_dtype)
      151    0.000    0.000    0.011    0.000 <frozen codecs>:319(decode)
       84    0.000    0.000    0.003    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\_ops.py:286(__call__)
       53    0.000    0.000    0.038    0.001 C:\Users\abhil\anaconda3\Lib\site-packages\torch\nn\modules\activation.py:294(forward)
       61    0.000    0.000    0.001    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\nn\modules\module.py:1617(__setattr__)
      132    0.000    0.000    0.000    0.000 {method 'size' of 'torch._C._TensorBase' objects}
       10    0.000    0.000    0.000    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
       12    0.000    0.000    0.020    0.002 C:\Users\abhil\anaconda3\Lib\site-packages\torch\nn\modules\linear.py:90(__init__)
       24    0.000    0.000    0.000    0.000 {built-in method _make_subclass}
       36    0.000    0.000    0.000    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\autograd\grad_mode.py:48(__init__)
      399    0.000    0.000    0.001    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\pandas\core\dtypes\common.py:1494(_is_dtype_type)
       84    0.000    0.000    0.000    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\optim\optimizer.py:72(<genexpr>)
     1008    0.000    0.000    0.000    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\_utils.py:786(is_compiling)
       12    0.000    0.000    0.017    0.001 C:\Users\abhil\anaconda3\Lib\site-packages\torch\nn\modules\linear.py:103(reset_parameters)
       42    0.000    0.000    0.006    0.000 <__array_function__ internals>:177(sum)
      131    0.000    0.000    0.001    0.000 {built-in method builtins.hasattr}
   200/54    0.000    0.000    0.000    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\nn\modules\module.py:2224(named_modules)
        1    0.000    0.000    0.000    0.000 C:\Users\abhil\anaconda3\Lib\site-packages\torch\optim\optimizer.py:489(add_param_group)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
      234    0.000    0.000    0.000    0.000 {built-in method torch.is_grad_enabled}
       12    0.000    0.000    0.016    0.001 C:\Users\abhil\anaconda3\Lib\site-packages\torch\nn\init.py:366(kaiming_uniform_)
